0:0:0:0:0:0:0:1 - - [27/May/2017:11:00:19 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [27/May/2017:11:00:19 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:00:19 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:00:20 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:03:25 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:03:25 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:03:25 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:03:26 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:10:36 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [27/May/2017:11:10:38 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:10:38 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:10:38 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:10:38 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:10:38 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:10:38 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:10:39 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:02 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/lib/js/Slides-SlidesJS-3/jquery.slides.min.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/lib/js/Respond-master/respond.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:22:04 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:23:00 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:11:23:00 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:23:00 +0530] "GET /CollaborationFrontEnd/lib/js/Slides-SlidesJS-3/jquery.slides.min.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:23:00 +0530] "GET /CollaborationFrontEnd/lib/js/Respond-master/respond.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [27/May/2017:11:23:01 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:28:23 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [27/May/2017:11:28:23 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:28:23 +0530] "GET /CollaborationFrontEnd/lib/js/Slides-SlidesJS-3/jquery.slides.min.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:28:23 +0530] "GET /CollaborationFrontEnd/lib/js/Respond-master/respond.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [27/May/2017:11:28:23 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:28:23 +0530] "GET /CollaborationFrontEnd/lib/js/Slides-SlidesJS-3/jquery.slides.min.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:11:28:23 +0530] "GET /CollaborationFrontEnd/lib/js/Respond-master/respond.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [27/May/2017:11:28:23 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
